listing_id,id_customer,last_action_time,last_action,action_detail
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:40.689000,select universe,ropa de mujer
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:39.246000,start deposit,
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:39.204000,tap add deposit,
18709747,c69bf3845aa12e8eaba966ea8001805df5cea9a7300ef2a1e3ee902b43ca2e48,,,
18709798,c69bf3845aa12e8eaba966ea8001805df5cea9a7300ef2a1e3ee902b43ca2e48,,,
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:28.782000,delete draft,
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:36.551000,tap back button,
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:08.217000,start condition & price,
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:08.110000,tap cta,next
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:07.365000,select condition,ottimo stato
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:06.078000,select step,condition_price
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:04.517000,create draft,scarpe col tacco per donne
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:02.041000,select brand from results,michael kors
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:12:01.989000,type in search field,michael kors
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:11:54.621000,tap search field,
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:11:52.664000,select category,scarpe con tacco
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:11:48.354000,expand menu,scarpe
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:11:47.044000,select universe,moda donna
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:11:45.560000,start deposit,
18709799,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:11:45.458000,tap add deposit,
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-09-01 06:03:02.819000,tap back button,
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-09-01 06:02:54.861000,delete draft,
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:49.143000,start condition & price,
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:49.078000,tap cta,next
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:48.366000,select condition,ottimo stato
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:47.218000,select step,condition_price
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:45.953000,create draft,scarpe col tacco per donne
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:43.670000,select brand from results,fendi
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:43.615000,type in search field,fendi
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:39.264000,tap search field,
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:37.291000,select category,scarpe con tacco
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:32.680000,expand menu,scarpe
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:31.591000,select universe,moda donna
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:29.975000,start deposit,
18709801,e868c5096eef593ff51ad3c24eb714b8b1439ce99856bafe1c636d319369aa89,2021-08-31 23:14:29.906000,tap add deposit,
