ID_BRAND,BRAND
825,Sonia by Sonia Rykiel
826,Abaco
827,Muks
828,Sarah Wayne
829,Bérangère Claire
830,Heschung
831,AS29
832,Lanvin For H&M
833,Chan Luu
834,Blondie's Back
835,Camilla Skovgaard
836,Alice by Temperley
837,Edouard Nahum
838,Carven
839,Nicholas Kirkwood
840,Timberland
841,My Pant's
842,J Brand
843,CAMPOMAGGI
844,Malababa
845,Cutler & Gross
846,Kork Ease
847,Moheda Toffeln
848,Swedish Hasbeens
850,IWC
851,GAS BY MARIE
852,UN MATIN D'ÉTÉ
853,URBAN WORKER
883,AGATHA RUIZ DE LA PRADA
918,ANGELO TARLAZZI
920,Ann Tuil
921,Anne Fontaine
926,ANTI FLIRT
928,ANTONELLE
929,Antonio Berardi
932,ANYES GALLICI
933,APART
934,APOSTROPHE
935,AQUAVERDE
937,ARCHIMEDE
944,ARNAUD FOURRURES
945,ARNETTE
946,ARROW
947,ARTHUS-BERTRAND
948,ARTURO
949,Asics
950,ASTER
951,ASTUCES
952,ATIKA
954,ATTIMO BY BALANCE
956,AUBADE
959,AVENTURE DES TOILES
960,Avirex
961,AVOCA
962,AXARA
963,AZULEROS
969,BAGHERE
970,BALDINI
971,BALI-BALO
972,BANANA MOON
973,Banana Republic
974,BANDE ORIGINALE
977,BARBARA RIHL
978,BASILE ET BONIFACE
979,BASSANT COUTURE
980,BATA
981,BATELA
982,BAZAR CHRISTIAN LACROIX
983,BE YOU K
985,BEE-FLY
986,BEIJA
989,BELLA JONES
992,Benetton
993,BERSHKA
994,BEST MOUNTAIN
995,BEVERLY FELDMAN
997,BICHE DE BERE
998,Bill Tornade
999,BILLABONG
1001,BISCOTE
1004,BLANC NATURE
1007,BLUE CULT
1011,BOCACHICA
1013,BOSSINI JEANS
1014,BOUT'CHOU
1015,BOXFRESH
1016,BP ZONE
1017,BRACCIALINI
1018,BREIL
1019,Brian Atwood
1020,BRIEFING
1022,BRONX
1023,BRUCE FIELD
1024,BRUCOST
1025,BRUNO PREMI
1027,BUGGY
1029,AK457
1030,BUTI
1031,Buttero
1032,BY MARIE
1033,Byblos
1035,CACHE CACHE
1036,CADET ROUSSELLE
1037,CAFE COTON
1039,CALVIN KLEIN JEANS
1040,CAMAIEU
1041,Camper
1042,CANNISSE
1044,CAPRICES D'ANTIN
1045,CAPTAIN TORTUE
1047,CARAMELO
1048,CAROLINE BISS
1049,CAROLL
1050,CARON
1051,Carrera
1053,Casadei
1058,CECILIA BILANCI
1059,CELIO
1062,CERISE
1063,CHANTAL ROSNER
1064,CHANTELLE
1065,CHARLES KAMMER
1066,CHARRIOL
1067,Charvet
1068,CHEF DE VILLE
1069,CHELSEA BLUES
1072,Chevignon
1073,CHEYENNE
1076,CHILLI PEPPER
1077,CHIPIE
1079,Christian Dior
1081,CHRISTINA DAZZONI
1082,CHRISTINE LAURE
1084,CIMARRON
1087,CLAYEUX
1088,CLIO BLUE
1089,Coast
1090,Coccinelle
1091,COCO ET ABRICOT
1092,COCO MENTHE
1094,COLIN STUART
1095,Colisée De Sacha
1096,COMPLICES
1097,CONFETTI
1098,CORDIZ
1099,CORLEONE
1105,CROCS
1108,DANIEL HECHTER
1109,DARJEELING
1111,DAVID JONES
1112,De Fursac
1114,DECATHLON
1115,DELPHINE COUNTY
1116,DELPHINE MURAT
1117,DERHY
1118,DEVERNOIS
1119,DI STEFANO
1120,DIAB'LESS
1121,DICKIES
1123,DIDIER LAMARTHE
1126,DIPLODOCUS
1127,Dirk Bikkembergs
1129,DOCKERS
1130,DOMINIQUE RUFFY
1131,DONNA PIU
1133,DORMEUIL
1136,DPAM
1139,DUCCIO DEL DUCA
1141,EDC BY ESPRIT
1142,EDEN PARK
1143,EDEN SHOES
1147,ELITE
1148,ELIZABETH STUART
1153,ENTRACTE
1154,ENZO LOCO
1155,EPISODE
1158,ERIC BERGERE
1159,ERNEST LE GAMIN
1164,EXCLUSIVE
1166,FABIO LUCCI
1167,Faconnable
1168,FAITH
1169,FEIYUE BASKETS
1170,FIDJI
1171,FIGARET
1172,FIONELLA
1173,FLAVIO MENORCA
1174,FLEUR DE SEL
1175,FLORIANE
1176,FLORIC
1177,FLY TO THE SKY
1180,FOREST
1181,FOREVER UNIQUE
1182,FORTH & TOWNE
1183,FOSCO
1184,FRANKLIN MARSHALL
1185,FRU.IT
1188,GAMPEL
1190,GEORGIO
1192,GINA B
1193,GINKGO
1195,GIORGIO CUIRS
1196,GIOVANNI PARIS
1197,GLAMOUR
1198,GO WEST
1199,Guido Pasquali
1201,HALLE AU CHAUSSURE
1202,Hamilton
1203,HANNAH MORE
1204,HARDRIDGE
1205,HARRIS TWEED
1206,HELENA SOREL
1207,HENRY COTTONS
1209,Herve Chapelier
1210,HEYRAUD
1211,HISTOIRE D'OR
1212,HOLLISTER
1213,HOMERS SAGUETO
1214,HUIT
1215,I LOVE MY T'S
1217,INDIES
1218,INES DE LA FRESSANGE
1219,INTIMISSIMI
1220,INTUITION
1221,IPANEMA GISELE BUNDCHEN
1223,ISLI
1225,JACQUELINE RIU
1226,JB MARTIN
1227,JEAN BAPTISTE RAUTUREAU
1228,JEAN BOURGET
1230,JEE VICE
1231,JEKEL PARIS
1232,JENNYFER
1233,JESSICA SIMPSON
1234,JET SET
1235,Jigsaw
1236,JIKI
1237,JULES
1238,Julien Mac Donald
1239,JUS D 'ORANGE
1240,JUST A DRESS
1243,KANABEACH
1244,KANI
1245,KANNABEACH
1246,KAPORAL
1247,Kappa
1248,KASHMEER
1249,KESSLORD
1250,KIABI
1251,KIPLING
1253,KORN
1254,KOSMIKA
1255,KRYOS
1257,L'AUTRE CHOSE
1260,LA CITY
1261,LA COMPAGNIE DES PETITS
1262,LA FIANCÉE DU MÉKONG
1263,LA HALLE
1264,LA MARTINA
1265,LA MASCOT
1266,LA SCARPA
1267,LADY ALLISTER
1268,LADY SOUL
1269,LAFAYETTES COLLECTION
1270,LALTRAMODA
1271,LARIO
1272,LATFEM
1273,Laurel
1274,LE COQ SPORTIF
1277,LE PETIT KIMBALOO
1278,LE PHARE DE LA BALEINE
1279,LE PLAGISTE
1280,Le Silla
1281,LEE COOPER
1282,LEJABY
1283,LES INDIENNES DE NIMES
1284,LES PETITES BOMBES
1285,LES PETITES PESTES
1286,LES TRIPLES
1287,LESLIE
1288,LIBERTO
1289,LISE CHARMEL
1290,LITTLE MARY
1291,LIZHEL
1292,LOLA ESPELETA
1293,LOLITA LEMPICKA
1294,LOLY POPS
1295,LONDON REBEL
1296,LORENZO
1297,LOU
1298,LOUIS PION
1301,LOULOU DE LA FALAISE
1303,LUZZI
1304,LYLE & SCOTT
1306,Maison Scotch
1307,MALHYS
1308,MALIPARMIII
1309,MALLONI
1310,MANDARINA DUCK
1311,Mango
1312,MANIGANCE
1313,MANUEL CANOVAS
1314,MARC LABAT
1315,MARCO TAGLIAFERRI
1316,MARC O'POLO
1317,MARINA RINALDI
1319,MARJOLAINE
1320,MARK ECKO
1321,MARKS & SPENCER
1322,MARLBORO CLASSICS
1323,MARLIES DEKKERS
1324,MARZIO FIORINI
1325,MASCARA
1326,MASSIMA MILANO
1327,MASSIMO E DANIELE
1328,MATHIAS
1329,MATT & NAT
1330,MATT BERNSON
1331,MATTIOLO
1332,MATY
1333,MAUD FRIZON
1334,MAYBE NEW YORK
1335,MAYORAL CHIC
1336,MELCHIOR
1337,MEPHISTO
1338,MERC LONDON
1339,MERESINE
1340,METAL POINTU'S
1341,Mexicana
1342,MEXX
1343,MEYERS
1344,MI MAI
1345,MICKY PARIS
1346,MIEZKO
1348,MINE DE RIEN
1349,MINI
1350,MINKA
1351,MINKA DESIGN
1352,MISAKO
